name,affiliation,country,dept,year,homepage
Ramesh S. Sankaranarayana ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/ramesh-sankaranarayana/
Ramesh Sankaranarayana ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/ramesh-sankaranarayana/
Richard Brent ,Australian National University,australasia,#N/A,#N/A,http://wwwmaths.anu.edu.au/~brent/
Richard I. Hartley ,Australian National University,australasia,robotics,1994,http://axiom.anu.edu.au/~hartley/
Richard P. Brent ,Australian National University,australasia,act,1980,http://wwwmaths.anu.edu.au/~brent/
Robert C. Williamson ,Australian National University,australasia,mlmining,1990,http://users.cecs.anu.edu.au/~williams/
Robert E. Mahony ,Australian National University,australasia,robotics,2000,http://users.cecs.anu.edu.au/Robert.Mahony/
Robert I. McKay ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/robert-ian-mckay/
Robert Ian McKay ,Australian National University,australasia,#N/A,#N/A,https://cs.anu.edu.au/people/robert-ian-mckay/
Robert Williamson ,Australian National University,australasia,#N/A,#N/A,http://axiom.anu.edu.au/~williams/
Rodney A. Kennedy ,Australian National University,australasia,vision,2007,https://cecs.anu.edu.au/people/rod-kennedy/
Roman Bader ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/roman-bader/
Salman Durrani ,Australian National University,australasia,#N/A,#N/A,http://users.cecs.anu.edu.au/Salman.Durrani/
